train_year,test_year,n_train,n_test,alpha_apparent,bmr_apparent,c_apparent,rmse_fitted,mae_fitted,bias_fitted,rmse_literature,mae_literature,bias_literature,improvement_rmse_pct,improvement_mae_pct
2021,2022,21,12,-25571.295611596805,1072.3891486212638,0.1803338175868052,0.2922281304399092,0.2587219337553723,0.021541833559984836,0.6958003341229897,0.5782142032730405,-0.09306834625323006,58.00115117676058,55.25500198873525
2021,2023,21,30,-25571.295611596805,1072.3891486212638,0.1803338175868052,0.4977937100760727,0.4321224874682512,-0.42082597983561687,1.0037505950190038,0.923595865633075,-0.9173176985357452,50.40663362529333,53.213033584547865
2021,2024,21,31,-25571.295611596805,1072.3891486212638,0.1803338175868052,0.5446660315422474,0.4856008165348379,-0.2807753754246202,0.6503687432820939,0.5430508660498459,-0.46336854546970097,16.252735518379392,10.579128605925973
2021,2025,21,21,-25571.295611596805,1072.3891486212638,0.1803338175868052,0.5547487228316211,0.49076177467199383,-0.29438245299302435,1.1290530016310512,1.0317758779377386,-1.0266464377999263,50.86601585308921,52.435234708830016
2022,2023,12,30,-13290.779141078661,746.1936547814663,-0.29903591577100824,0.8129588619701974,0.7466901941878158,-0.7466901941878158,1.0037505950190038,0.923595865633075,-0.9173176985357452,19.007882435695507,19.154012921441563
2022,2024,12,31,-13290.779141078661,746.1936547814663,-0.29903591577100824,0.8293189935809682,0.7370473593555708,-0.6429619315674374,0.6503687432820939,0.5430508660498459,-0.46336854546970097,-27.515198438934746,-35.72344791876609
2022,2025,12,21,-13290.779141078661,746.1936547814663,-0.29903591577100824,0.810806990618213,0.7008393313642637,-0.6110643862117394,1.1290530016310512,1.0317758779377386,-1.0266464377999263,28.186985956646314,32.07446051510083
2023,2024,30,31,36144.39264269739,713.2485705806039,0.6259967829719313,0.5831578198407912,0.47064891883988685,0.4523938917089662,0.6503687432820939,0.5430508660498459,-0.46336854546970097,10.334279458468744,13.33244300605044
2023,2025,30,21,36144.39264269739,713.2485705806039,0.6259967829719313,0.40646100207459845,0.3286479167553399,0.15300139374255375,1.1290530016310512,1.0317758779377386,-1.0266464377999263,63.999829814241025,68.14735411219104
2024,2025,31,21,26320.964419987024,876.7277579622952,0.5928244791268916,0.41830901866991604,0.32870277611209553,0.1721402608738964,1.1290530016310512,1.0317758779377386,-1.0266464377999263,62.95045333871669,68.14203712834515
